title,author,publish,price,score
Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,19800,9.8
혼자 만들면서 공부하는 파이썬,문현일,한빛미디어,23400,10.0
혼자 공부하는 파이썬,윤인성,한빛미디어,19800,9.5
두근두근 파이썬,천인국,생능출판사,25000,5.0
밑바닥부터 시작하는 딥러닝 1,사이토 고키,한빛미디어,23400,9.2
파이썬 업무 자동화 일잘러 되기 + 챗GPT,메이허,골든래빗,32400,9.2
대표 전략으로 입문하는 미국 주식 퀀트 투자,이용환,프리렉,27000,9.8
파이썬으로 웹 크롤러 만들기,라이언 미첼,한빛미디어,25200,9.8
진짜 업무에 쓰는 챗GPT 노코드 데이터 분석,이기복,디지털북스,29700,10.0
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,23400,9.6
최신 파이썬 완전정복 : 기초에서 심화까지,강환수,홍릉,34000,9.6
야구 데이터로 배우는 파이썬,사이토 아마네,영진닷컴,16200,9.4
2025 최적합 빅데이터분석기사 실기 (파이썬),김민지,성안당,27000,10.0
파이썬과 JAX로 추천 시스템 구축하기,브라이언 비쇼프,제이펍,29700,10.0
파이썬 워크북,안기수,생능출판사,15000,10.0
코딩 자율학습 나도코딩의 파이썬 입문,나도코딩,길벗,21600,9.8
실전 코드부터 배우는 실무 활용 파이썬 with 챗GPT,박찬의,아이콕스(iCox),19800,9.8
마이크로 파이썬으로 만드는 드론과 사물인터넷,장문철,먼슬리북스,19800,10.0
Streamlit 으로 프로젝트 한방에 끝내기 With 파이썬,Sara,BOOKK(부크크),60700,10.0
마이크로 파이썬으로 만드는 스마트 자동차,장문철,먼슬리북스,19800,10.0
친절한 파이썬 프로그래밍,서정만,글로벌,25200,10.0
정말 쉽네? 챗GPT 구글 업무 자동화 + 이게 되네? 업무 자동화 미친 활용 앱스 스크립트 with 챗GPT + 파이썬 업무 자동화 일잘러 되기 + 챗GPT 세트,서휘승,골든래빗,82800,10.0
비전공자가 배우는 파이썬,이성만,BOOKK(부크크),27700,10.0
2025 시대에듀 빅데이터분석기사 실기(파이썬) 한권으로 끝내기,장희선,시대고시기획 시대교육,30600,10.0
